# x_m, y_m, w_tr_right_m, w_tr_left_m
# levine centerline (one frame for every levine map), 499 points, 61.78 m, counter-clockwise; finish line = first point. Source: lev_blocked_source.csv; widths measured from the map by autograder/labs/lab3/make_centerline.py
3.2304, 8.6114, 0.8250, 0.8500
3.1032, 8.6048, 0.8250, 0.8500
2.9762, 8.5984, 0.8500, 0.8250
2.8493, 8.5920, 0.8500, 0.8250
2.7226, 8.5858, 0.8500, 0.8250
2.5961, 8.5797, 0.8500, 0.8250
2.4697, 8.5737, 0.8750, 0.8000
2.3435, 8.5678, 0.8750, 0.8000
2.2174, 8.5620, 0.8750, 0.8000
2.0914, 8.5563, 0.8750, 0.8000
1.9656, 8.5508, 0.9000, 0.8000
1.8399, 8.5453, 0.9000, 0.7750
1.7143, 8.5400, 0.9000, 0.7750
1.5888, 8.5349, 0.9000, 0.7750
1.4635, 8.5298, 0.9000, 0.7750
1.3382, 8.5249, 0.9250, 0.7750
1.2131, 8.5201, 0.9250, 0.7500
1.0880, 8.5154, 0.9250, 0.7500
0.9630, 8.5108, 0.9250, 0.7500
0.8381, 8.5064, 0.9250, 0.7500
0.7132, 8.5021, 0.9250, 0.7500
0.5885, 8.4980, 0.9500, 0.7250
0.4638, 8.4940, 0.9500, 0.7250
0.3391, 8.4901, 0.9500, 0.7250
0.2145, 8.4863, 0.9500, 0.7250
0.0900, 8.4827, 0.9500, 0.7250
-0.0345, 8.4793, 0.9500, 0.7250
-0.1590, 8.4759, 0.9500, 0.7250
-0.2834, 8.4728, 0.9750, 0.7000
-0.4078, 8.4697, 0.9750, 0.7000
-0.5322, 8.4668, 0.9750, 0.7000
-0.6566, 8.4641, 0.9750, 0.7000
-0.7810, 8.4615, 0.9750, 0.7000
-0.9054, 8.4590, 0.9750, 0.7000
-1.0297, 8.4567, 0.9750, 0.7000
-1.1541, 8.4546, 0.9750, 0.7000
-1.2785, 8.4526, 0.9750, 0.7000
-1.4029, 8.4508, 0.9750, 0.7000
-1.5274, 8.4491, 1.0000, 0.6750
-1.6519, 8.4476, 1.0000, 0.6750
-1.7764, 8.4462, 1.0000, 0.6750
-1.9009, 8.4450, 1.0000, 0.6750
-2.0255, 8.4440, 1.0000, 0.6750
-2.1502, 8.4431, 1.0000, 0.6750
